channelid,videocategoryid,channelviewcount,videocount,subscribercount
UC--kMyYobbRpKDLzlGkwo6w,26,69489,48,874
UCEM28LrpZS6qvC5re-hbTjQ,20,852903,225,460
UC1lBNgO-iUWIzJdelqXKAvw,17,5487003,578,15440
UCMiOdQQZ2CnQGwucXtV-trg,24,3008631,96,7519
UCMTadap4VoHJjwRq91-59UQ,20,495817,108,809
UChmj5_aVSCk8DJZTGCJe8rg,17,101753,110,169
UCl3nQ5f-O8iWmICHinAoh6Q,1,33827,9,4
UCEIBdGrIkorV7EXW1e0GCqg,20,15002,11,42
UCWYdaRNoeOWfS5s6GYaXLzg,10,136920,12,45
UCrNdw9pjfStYU_10jkU9Fwg,24,29610,17,1
UC37bdEiP-uJreI5wtMwZAVw,17,215578,74,432
UCEsrx2HdQshx7LaoPINvrPg,10,5333326,338,1335
UCyNzS_6-B9hnZWemuBpQgEg,22,14423,31,15
UC1XKoUVhwJIAiCzDw6avCAg,24,19708,6,2
UC-UEnvqjaf-7fcLJSCVspXg,24,149467,11,73
UCnnbro6IhJ6kfjV3xw5KZtA,23,498499,12,281
UCORTeEEMFRKQTePwQJGZfUw,2,308824,54,137
UC-VolW1nwETh9Ll1y2h1ueQ,2,203574,103,41
UCK_k08qLykhW03fPP5P1kWA,15,22587,19,122
UCrfnNPLMIHZI-wDupFVPcBA,20,29200208,4597,61094
UC1cfEMDmx1gpLHsvU9mg_9w,1,16870260,29,11479
UC6USZimMmwjrbDGKjyaVwVA,27,114327,31,269
UCSZUXGdzweAuksqVrrbj2Iw,22,13484,7,11
UC8FJ1dhYn4LuLWPv1TBZOoA,24,11945,3,0
UC-ofUgXWCeaMSfjX8mBCbBw,20,145314574,709,392399
UCrANDreLc7mG5mP66J6admw,28,2155962,194,5168
UCRNgihmjtQNhn_egg0Y6KDA,2,43333,8,40
UCq9E3PxrK42EO-a8-uwmgNA,10,111813332,2302,53079
UCp9CMBa8SvcnldY6CUl7tww,24,270462,695,569
UCz48GslYrQBCAzmSDvXTJXQ,24,235688,75,299
UCtfJaQB08iPTc5GcTwaMqtw,24,19058,1,35
UCcb0muJBVxIUeOsyDr0u7Ig,24,27305,34,51
UCdt_4stK3iBBbzPtZfqMufw,24,2352749,756,3542
UCWPmknLYJuVSKV4Bqv04a1A,22,9101,10,5
UCxKqLvgx_iMIbpyaBfr7rIQ,20,14830752,981,21856
UCZ0mqihIUZbQV6D06TGaNiQ,2,57083,9,6
UC5JS3820CHv1cwcyEN70lgQ,20,1685503,203,1612
UCT6LaAC9VckZYJUzutUW3PQ,20,33469250,225,181263
UCQQKMcjzoGsTQGVHwwR_HZA,22,51954,21,52
UCbL8uzrp-nGAIhfuNcl7WzA,24,213228,8,1245
UCvkuzmjHdWmMdJLGFFSt5mg,20,523256,175,1876
UCWgK_4f2rYzU9jUru8-RxTA,24,1526389,397,6818
UC_1ZXxjRTcY5wX1MQ81rEdQ,10,23175720,956,58214
UCNWE19wwZt6R6LoVk4gtlRQ,1,3884036,369,866
UCgX2EaVuwi0jstpTXrWQGyQ,20,3013110,639,7574
UCCabTk9Qskbbi2nAgSy0MNw,24,513839,241,730
UCRhrB3agtA3afGvCx9DN6GA,22,1534533,249,2867
UCuE1Ed6JqKgCZrF1PKRD9yw,17,5088,10,6
UC5ljOmJyDE1JrGMkruvWCrg,26,3909615,265,19152
UCoDkamsmzvrvxmZT9JdpONQ,2,230764,11,334
UCgquFDyfTt6SWG1xXUKGiqA,2,176202,42,83
UC31zdvJk5Sr2w5n4hklJX1w,22,2240823,214,9356
UCJWrsIZjGI3aOgtoqD09x3g,10,2939943,723,2530
UCny_hcFKMhkFjVcJZwWRrFg,22,145983,12,1332
UC56-92630x0A7w_HrjK8AsQ,25,3365742,1638,2396
UCgRz5nuL14LD246x7HllIqw,10,2745062,11,6844
UCeBNABt4ejGeuaLz8QJK6Yg,15,70207,14,57
UCC5qXYhDHV1TY43_DWVvv1w,20,29719497,855,674621
UC02sVouxIghy3nLOm_RzvDw,22,7451,27,19
UCOXTmmhdne0ehxsOAV_lEZw,28,4093300,934,7576
UC9E14Vftpl9xZY6cbTEs2LA,24,24431,43,34
UCoMYvfLxUfajoBTLm-nvlAw,26,7115770,79,108689
UCgSDoVw1IaChd8mVsT6st7A,20,13736819,961,19665
UCWIGwT2BhhCpjWjRgchiY5g,24,292661537,1580,561273
UCnjnz6SAho-BFuOCk3lB_xA,26,2310329,95,8634
UCWIw8jZ8WuGzJkfNBhzoPFQ,28,36188452,1478,77850
UC0qq90ZhYD2AA61Fp4RKBrw,22,11112,47,19
UCLJE1cvF9a___wz3h-U2EYA,24,630208,18,82
UCBNP3TVxHxtJJTWQfyC1ctw,22,204812,191,1315
UC8G8kqkWlL6qIMDZG8DMPcw,19,17389234,4369,23670
UCXHZkk84LkX7pdsagGCA-eQ,25,4234288,872,757
UCRdDXp3LihrgoXg_wPO0Thw,10,3676,2,15
UCdSrV3OGGXu6ZsE-mF9l7aA,10,275857,435,263
UC0Wg1TUmlxj6ihalJPxHyqg,28,89942449,1081,145438
UCy5Q86oJOrho-eZbc22DJSA,10,381384,28,2059
UCy4DstXG8Sxx-gqVOtY_pMg,20,714802,17,1460
UCy1F61QvUUQXAXi2Voa_fUw,17,52334707,3430,180951
UC58k_P0vo3pibDwW-Zna68Q,1,2768,6,1
UCq5STAGBJGgTfSVk30T5yWQ,26,118805,55,749
UCU8NCah8lbB_e6mY8CqhDRA,10,19617665,762,16852
UC-gUD1u77R_fCYU5VJoe7zg,17,4650576,1448,3694
UCR4DZnk4TP-WYtf8wB55h5g,22,274351,21,146
UCqBNcBqhybw0vfqtpDgJ-Pw,10,750704,131,250
UC0Ec7aNF-i67aWHH6-BKQwg,24,165108,85,625
UCTn9b_cuSTtsDVNOo4EWKzg,1,531537,40,775
UCbiPCnUx3WWb2h4H1R4uLBQ,2,179887,49,103
UCn9atqScyXLGnjNQ_DEXQ5w,20,36599396,1696,233974
UCwyZMvRDBleBvllMYN2EoGQ,22,5552437,90,13826
UCr4caF0n0P5kExMR8uWERJQ,25,4443458,1047,2510
UCCVLeCM2GmwjDg2elXqojcg,10,894285,429,812
UCfMnYQQtNI-jRwX1LSp4QXA,1,34825226,255,14788
UCfUuMpX38c9_7jaCEYiDdkA,17,26447,2,0
UCxhns6nPe8EeAM1yD1tJgBA,2,711156,398,943
UCCkPbbLX7JCnEhnknohzT1w,24,810608,25,818
UCmI-YXEUHMu0ao7kKjuTAgQ,2,3254,5,0
UC9PILq9AJuk2ZYkD69Qo9nA,22,280974,13,171
UCnJutVTtn3ZXyapoGUmuRTA,20,38958035,939,113544
UCOeIQDlcWZk7n6S4-soaAGg,24,1747492,23,269
UCpa-hho2NHxC47LYmGixGEw,10,515827,54,247
UCeXY-D7RTVIIOuKP9HB35Ig,17,14724,7,12
UCe0eBOd5v3GOWTCFX-HxKsw,17,3935,7,6
UC9Yi_hWXTZlMVZSAvTBLBnw,17,7945,11,9
UCEioe55oIi8WGww0S9HtpzA,10,83620,52,120
UCttWHTSCu8IRnxZQ7SB6n0A,20,22238501,2358,10450
UCpiK1YCS2GnYUVN_UCrT5Ng,2,1829848,147,860
UCJlKhBw4YLmG5gy6OYuOl_A,10,1164714,39,760
UC-H-A3Uwh1p0yz-ZBocFK7Q,10,33989,20,29
UCsWWKbPsXvPm6gbc8NDLZLA,22,27294,5,38
UCHVLKtu4iaKfBUscsxb510w,10,1233203,96,2248
UCHIwQiZhIn6fm5b_IilqBbQ,20,2790259861,7345,5449122
UCAQsSq6zk_RLaYIfRPrqE3w,19,34383,10,10
UCcw1Qs2-_gZA4s51BkCdseQ,20,88791,129,73
UCRxDTCmIjgli-Xgh2KPE9dA,1,1004475182,8897,609641
UCt4uUPXTEgGwEZbchC1VAYA,20,18833628,1227,49097
UCUtZaxDF3hD5VK4xRYFBePQ,24,5652037622,1794,8109841
UCtnboZiB_Nqif-YNtp4aB7A,24,399839933,1766,1043486
UC7W4SLNcEGIb9iq4-XtaNng,17,2944,1,1
UCMATRiSVZ2ISwBHQiNkFWrw,24,5968841,237,1453
UCm68FLDkrkxJ7SdoDSMnJpg,1,564672,123,214
UCnwgxNhrMK4CxQxgDuE3zvw,10,3233098,1222,4318
UC_BaxRhNREI_V0DVXjXDALA,2,180164072,1586,422973
UCl9wrgGC2MAEfl6PqbFfR_A,10,419603,6,271
UCnUU48FFRDsyTC6R90Jvqwg,26,603786,969,1463
UCeR4TZywTWya4zo38b_8hdg,10,6064956,536,8934
UCNW-XFAFkHcLmD_PhY8O9hA,19,38562,10,10
UCp1b_STYnVuWnn4YRJ9Cbhw,24,437569,90,2666
UColGCeicDD7itc3NZ71qeYA,20,6836,4,1
UCWONS8Rwe3-5Y6h0S5kdyyg,26,6097367,535,9914
UCPeACP9gjNLMPnSH8vk81PA,1,635691,62,353
UC3g5hdo7-s_dkMuw_QaQBCA,20,3450595,1419,5865
UCchiov_1kNqpRaOl_o-DiFA,1,25017793,61,17621
UCzsVtOHj1BU1kFVhzcm2Zgg,28,7743172,111,37949
UCKpjCjPe_-4G8Tp6x_NCOAw,17,2565928,130,6810
UCROGAM2vq9kCLmQ6j4y1xdA,10,155524,43,1310
UC6-o4kl8D4P1HtouVnWf5tA,28,3231328,118,4730
UCQbXvTBkjb0h0QuRS9l7vNA,29,89213,6,58
UC7w8GnTF2Sp3wldDMtCCtVw,17,142080018,4366,378056
UCl3soA3A1-Rvx0vdoCtBXiA,24,12737,8,3
UCdRQubBW_YEY9tDFXxqZk7g,26,938760,7,469
UCju1iuBcl-Jb_di_KQ7CyRg,28,51041052,2681,109394
UCltLGEyRxWAoMLGzB9wYlQw,20,368835213,4105,2600530
UCjrTCHHo6ArJrszI72J6mtw,17,7586280,35,6131
UCQXI4dGbasH2nMOzZRB2Heg,24,21136037,1698,12719
UCy_nPhSXxHnihL-9Phug0AA,22,21138739,413,0
UC46hk4nW8LZ4ciCrLJpLxdw,24,4986631,293,5138
UCDGmIjVK68ULRQnyUAoGgAw,24,310960,57,68
UCzhdUe_X8bCbFvNSeQUIFng,24,1024413,63,2692
UCrJDNlUPWtPSu6kmDPnTyJQ,24,208244,53,189
UCj0QsxcE_JRu1YstIIF76og,24,7907165,68,3982
UCy9HnNMLyRz_MiO_nOhhijw,26,151732,47,328
UCqheS9rd4_nojHk3H-FR2XQ,20,281864164,3296,941025
UCu4CLugrCWnpB7iDHDR3akw,24,4000469,132,302
UCVqctw_4onzfN_wnOgQKYXw,10,44724,36,175
UCOjw-GX9DMmEPn43eprY5gw,28,10123648,574,23747
UCRz0xsWzleLU3EOyKu7L-lg,22,3326,13,0
UCJnc3w9sBoozXP5RQ15CBRg,1,69067,13,75
UC98Hk0dfZPYiZUPJY3IVUMA,17,544917,76,610
UCixInvC05-KR6pvhqg_sZSQ,17,1813494,738,3080
UC6OQnvhRoWwMZGscP-XUYCA,20,197219,31,340
UCDZyIwZMkRtb8IP3Mbwl8zw,24,154683,45,247
UC8P_gJ6aCVv51J75v-JA27g,20,10193366,580,6901
UCgjMHGQ2asROtNWhAu5MBuQ,20,34711476,1469,46441
UCbKhummQreunNafJALxRp5g,27,28514,41,24
UC41lvjrDswwUc7X4d80bA2w,23,59925945,89,220703
UCgqx_CBOTiv8U_mk56DrEig,17,90233,29,16
UC2gzLahvy-zwTV9AwNdhZgw,17,99680,66,292
UCfQKqzsyvHYiajiyrgpzSqQ,19,10112,2,8
UCbzEcb-FnsprBRyYuuWDaEA,2,51518,263,32
UCteJOOR438YLzNCNBnEYBLg,22,5340,2,0
UCL7L9Dl__Pr32JFU7V4u5hw,17,149972,44,54
UCrgoTjEg8Ig9uqzZBXkUcpw,27,1109878,980,3224
UCoNKUzSql4qUXaMa0qwwWIA,20,32453,6,10
UCxoBONIH2g_i4NKZIiyoPJw,17,20625,13,9
UCxYzDgQE1KxmU0lpPNnC0gw,10,1445338,74,3040
UCPJgYyZfwCBkv222WYCN3Qw,19,8896,8,2
UCK9-jd6Vv_f5xgoLE31e12g,10,364372,228,1130
UC6ciUUMRms4L-LLz9LKfdrQ,24,1629019,1358,5300
UCGXROVmHl6iJtO67vv8TS4A,2,22665,2,3
UCj_YB3cKoTAWwXWj_HikxQw,22,285233,33,409
UCJRMOYY6Tf_w2yQ_6jGZXmg,17,80447871,1904,109817
UCkENYw0PRQdwo6mV2nMDONQ,25,1794863,388,1567
UCl2nBtaD20xnQhSoGmD25WQ,17,52251,75,75
UCh_K4-2-Quf55BA8aMoDQ_w,26,19329413,636,33553
UCbu2SsF-Or3Rsn3NxqODImw,20,1658090166,31042,2803750
UC6ffr2IsErZIv03eqp4V_Zw,15,122707,24,70
UCiEx-V0EAgaR6EGcMe9TSDA,10,259745,19,281
UCT1XviyXCuYgG2D6m97Pa0A,10,6630,5,0
UCJo3iU_2Ji6Q6aTieypJOnQ,10,118615,52,156
UCRlNuNXnK8W6i9wkb6Da1WA,1,604216,12,454
UCFh-pzkzGa200ZkEHmNQPxA,1,1091293,8,308
UCBqoK_z14RmvqEU-Jo_VicA,17,3449,1,2
UC5ikmAX8WAoIdPgB9OrSrzw,20,236999,145,269
UC6EuztGj-iEgpPx3XaTrFPg,24,432846,150,309
UC6W76RWijOhx3dY9Ja2UigA,2,134548,14,182
UCedDv5zYKS5naBCRuv3M_ag,26,346472,126,2620
UCk1OsvdPasZXHL56x-oBIwg,17,65236,103,11
UCRABCYIg89ns2-FIEzRIldQ,22,934730,617,2049
UCwQqeblRMlew5AzrKHseLuQ,22,144121,118,35
UCEOKTdgjA4fGPC0slR34J7A,10,188164,92,71
UCKPrGrzWHmHcmJwdm5BoJ9g,22,284281,96,279
UC8faoPBqt4LQBymT8RNUo7w,28,946449,99,1526
UCSW2Lz7uZgAV13FZQdCtWYw,22,26296655,741,66152
UCWB-YmICnslQBDcEE9m_SUQ,1,5013,8,1
UCwcrUeljc2qpkEd6xqvoC4A,10,4374,5,106
UCYIkDsYBOSp43OkU-kdW25w,28,1416300,807,1332
UCBWI-ynROTl_jNeHTRPnI7A,10,559467,660,375
UCK4jWIPKlmyUyoL5jbe1puA,10,92512,18,120
UCgYLm7Oa-SowtuvSa8izWBQ,24,15839000,480,104834
UCxvXBzkL4s5HMfy0khkatOg,27,52774,50,0
UCyS-uQd1h_s3srTqt-liylg,17,6088,9,7
UCGNuA2Fg8X0frfChEhJrHdQ,10,2410472,121,1478
UCLO_71CwJqM2MhVLxhpoL8g,1,12477773,153,12360
UCAwfXm7ZmoQT5fYhbBjGXvg,24,76146,15,6
UC_ZY4lz9zqJcrBfBmFf-_nA,24,1892,2,14
UCxc9rx9oY5MWO7C8XuUIONg,10,13300224,26,7123
UC5tU6DGXITzcDpqBqNzXdJw,22,2407835,76,29450
UCZFVipGKYQxwwAOYwiIMEyA,24,4870768,40,52817
UCym_ErZsNpqkrdAvDgspoGA,25,287304,18,296
UC40NTfiV3DMsUbneF6HH53Q,10,3549,2,0
UCSYbLCirM4rm85Xj7fGD-Ig,2,248502,207,204
UCFdEMYmiimq2uKmOMaBfPLg,25,8580540,2450,22324
UCR9sm7yi5rvVsTJuzC2qn_Q,22,20732,4,34
UCN_Uniubnrgb2YmgRvDYJIQ,17,60514,27,36
UCKXiSBmhHe-ZFJwFokAcO2A,22,237681,176,355
UCOIQrwCGTj_3hdewlVuqdxQ,10,6079140,265,17036
UCAxtwo9BaGFtDYO4fOyS2qg,22,16013516,1910,19566
UC4Q34bijQU84lX-I8ahvIEw,28,1010641,142,909
UCDO9YkkFuuz9iGe2XIhYwhg,26,4704054,566,34973
UC7GsR6NwKEy8SmDKRtXdIZw,22,13631239,100,75834
UCWkkE6ObowGRcCywNsw2C1g,22,922261,148,797
UC1AaN96kgESTBy36Nfaj8tQ,1,1276432,126,642
UCXPsEBU_BHCMLpGh2Uh2_NA,17,1295260,118,979
UCJkjyDU_oEMvsSk7ql5FMOg,20,323444,511,1166
UCCz7LA2yhTOwHTcTgwv37Pg,25,4936143,5549,3651
UCKFrD1MP7HtFARafErJs2eg,26,926600,43,1285
UCbG4ZYJ1AAZlSbGRDHUP1YQ,26,137435,128,0
UCWIlNOmXhGHXnmZjkAICJXQ,1,1221614,284,6003
UCkeQp-ClM7FAVSu_WFPYg0A,10,2889377,1364,893
UCzy7ETKU4ZQStaJqnf9QDhA,10,326581,42,1118
UCGYCFw-RMJpylPQsTEVzLfw,24,163077871,4754,0
UCPzHmCs_KfWtYWyvEMgn-Bw,19,3126338,381,885
UC4O12pQmRJAyR_GPmAGu1pQ,24,171641178,644,164131
UCSVgcUvTHfm04KLfO-1ijow,27,129560,3,152
UCdGYCsxWgEHdpR0ayUop-gA,1,41611,13,458
UC_3tWe0VJmm2W0_mX0Lr2vA,22,6404,2,0
UCWaqnXjOAswBNh5p-aqjtgw,22,40607,14,92
UC5pHsEgqldVaoiaWgVuKqFQ,17,4047,3,0
UCGO8yBktFX2PjDsh8BZ1U5w,24,140388,15,325
UCsDb4OCZahFOGTEIflJ5l9w,24,36526,9,21
UCLpJ_RriBKixFEv-oXXqhfw,10,510263,73,74
UCR63NSVAXOhuOThmjiglH4Q,10,387555,48,1433
UCtpXCdPZZpN_9dE8tZe6Avg,22,40251,7,8
UCjCCIO9WUKbVXCUMK2FRwzQ,22,1851,3,3
UCJEPf8YzOQVDDkw1f886jXg,22,21964310,1052,95534
UCQ6y-mdce53kwAwsvVd8A9Q,28,3070787,1546,6118
UCT6PN1pkGMdUVZSCUdX4P9A,24,2178323,268,792
UC5H8iioT8qY9Jl02SoMsWCw,20,3520358,557,36866
UCKtHI2QDc5vC5Lawtnh-Mvw,22,68270,30,47
UClae0X8wy1MN9E7-2WaQncQ,20,6977742,457,6446
UCVrNPLdPj-FqkRmrDmFNyaw,10,65055,59,137
UCylLFgHKGVyDPp1Z5J3NUwQ,1,11511,2,9
UCnSUAPGgau9NJc8KrDFSpJA,24,599008,187,2764
UC1JBVquh7RKomHhsevSP2jQ,17,1767783,199,3411
UC_PzRdpPeVf6ddzGW4W2gig,26,129002,50,359
UCJLUHIhxU3bOu_EcPFyMyhA,10,3962,2,6
UCVCd0Dw5PDTCwimmecTOiww,17,7548429,2713,7732
UCCsFejxbviSj4fzaD1LPJbg,10,1427350,188,1353
UCMG4zaQpqs7c15Oj__JgbRw,22,64863,15,473
UCm8Gg6SGUcBsgErqNuBX5KQ,22,1641,1,1
UC2D4uy1mnE98DJP5s1vzn-Q,17,24590,26,19
UCSeB1BLJzvsEuInHsXqxEUw,26,7878,20,21
UCsQGy9MZlrT7DBL9tsKamxQ,22,3956,13,763
UCHZEnEW9SjSNDRU5Yum6qUQ,27,8905,18,7
UCPuTZ5Rw171KAILaJDwp1wQ,10,16519,32,238
UCVXVfZ5ryrcp1TgxegnpFBw,24,1262292,21,4254
UCTiL1q9YbrVam5nP2xzFTWQ,25,88903467,2585,298194
UC4K9nmnB3-TKJjzwTgxSPoQ,22,1138652,314,4646
UCMhZyW4q91QAzBxhj8IX5vA,24,11625676,282,3108
UChHkr2LeEjwBOHWL75LtvYA,27,1710543,43,2647
UC787mhTiKSh0iE9PBX6pM4g,10,14028,35,120
UCEideiopjVaxdQsmAQOXyyQ,20,222351,46,644
UCMUlt5fBuiMx_o3_cbo5PDA,1,4067894,87,736
UCjqakGiLMbvQ8FqWQKXsBkQ,26,333865,100,2360
UCfvkj-ggeiPT066ByKgg93Q,24,188898632,1284,92786
UCo2REL5JgQ3v-QqMb1g1lIw,10,402669,52,814
UC8bJfF2sVcLW92EcYtQ_Tww,24,431616,42,48
UCeQf8mZkzUswAL42uQs84iA,17,25565299,1549,67640
UCeu7XHEbM_aAGm6xP6Hnorw,10,58043105,4345,43988
UCcE5BQzPpX1eAqX_RjIIqBg,22,110596,12,80
UC6VdHmorTBm6IGFJrLlFuew,22,1999141,160,3593
UCk2hNgDiYwnxGiVKLAbz36w,22,1738721,208,1560
UCuIJWRaLX6yP9A9SsRgxa7A,15,2248983,835,806
UCcbqSG3k30oHXbFs9cDYvWA,10,448267,82,436
UCxBYHOQINij4SwdRNczoTaw,24,1119624,128,1170
UCLINPbYQ9sy6qc-TqtBeVnw,2,42804055,2076,71043
UCcSeeATlWJJbXpOZRYOfaDg,2,27900710,1109,78445
UC6lhT3obp7Yf0iQH4wRLVHw,22,26679,1,36
UC-1g6IDDRsReIMnIJKJcc_Q,20,8029,28,6
UCTDnFFG76UV07OgvMpmD1Tg,2,32832288,1107,46483
UCjhRMHxiHQE7RV36e9JeEQg,17,8152,1,2
UCAcbfpFAA0k0SPLmZlgWYhA,10,428299,10,228
UCvMyD8ecaYW5glzQF7dgeaA,24,66471,63,13
UC_ydRj9p48PgpgSwr5SZ89A,20,3663095,239,1870
UCphz8ckXEvP7AJ6t-Od0qsg,10,2784,10,1
UCwLn_5lHFrclLEXbS0ogu5g,10,1203544,39,863
UCtpLbWEaULGAPWBAj9L5_DA,24,69180,37,34
UCVbsDKvlrcjyUD50W3pTzSQ,1,170525,96,533
UC84xfE6pe7GeX_4RxzYVkOA,24,310246,231,65
UCDP8SYwrH5oQfxBRo92MODQ,17,4360,2,5
UC5kC_Ufdjb6-2Eiiakp2G3A,22,245458,76,155
UCSmS6sWsIZRkBH5p438IUmg,22,206376,294,13542
UCFSK7Yl9UANJ42kRD5hcaFQ,2,24106,11,56
UCHKnKNMXGs9gV7ago_cpHMA,10,853971,36,2217
UC6LA4vk3pMxCkogsGWonIKQ,28,2604235,44,1436
UCHzbTUXnKX2gSr3hvXXjxlQ,26,1719589,159,2342
UCJMQxg81E1HwVuD-5I2C3oQ,10,213182,33,31
UCVXA6A5S8ZVDDxk99okt83A,17,2629370,441,8403
UCuxuwpbLsno1XGmEWMQNe4Q,27,18398,68,24
UCYB_7AvhPxs4zl1FbzoJhtA,15,49164,8,25
UCS8ObvH1f2kNixDfMFsf5_A,10,179825,131,301
UCECHoIdLDF53V_jrd5nsgvQ,22,195747,90,111
UCCbc9GxE0TmCoSWqImckHwg,22,15902871,550,143591
UCdh2Jy5YksUCH6GwyxBgogg,15,292041,55,133
UCSb7YDVK3vGTMfhPqtGmA1w,20,476940,339,206
UC8Nl48FBZkPnTfmEMVFv2Aw,22,10328,7,10
UCqLfp0G9bGnQ9J-LEL9kYZQ,25,131854,68,136
UC45lYuHP59jXCqhzNdc-khQ,20,533643,3,62
UC_eg49ESVr7tnxgA1LdR-4w,15,1806,10,2
UCbh8eWQ83qZxKkfUbyKEIDA,26,37605951,2963,156685
UCBriYsje-d_72dqxHqLtf8Q,27,4190194,227,29848
UCbCL_dS_4KjCJ8NKry0wwJQ,22,408540,44,674
UCsZeySV9FGu3X9_PN9hpWJA,26,553664,75,554
UC4di-od7AQJbMyuDO_upb6Q,20,59097,5,91
UCn6-nwl1LgAjDmGbbR5b_6w,24,21117,9,29
UChNmE5O9AIC0WJjb9I4rYLg,10,27507,18,2
UCxkmL8rM9nw-EUW7DbruBSw,26,5174942,251,9995
UCQimPADTui-RZdvBOKqhmOw,1,306156,8,360
UCA8817rO9pBK7Um7OKG-zkA,26,21452,24,136
UCzv9126bAWtkrO0qM-usKfA,22,412871,119,277
UCdz0-84R-w9-bBUII0U_P6w,19,87593,78,20
UCuWcjpKbIDAbZfHoru1toFg,43,920009188,3953,1800896
UCa7LezACJkW0e7RlXo8VfXw,10,5093710,432,6288
UCS6HNpDJeLwmFa8iwdEAQVg,10,1138863,107,8978
UCPeqv6ycK5Sa0Hli0n0wPsg,17,417093,11,615
UCjvbYiLBW_s9ktY2SIBzHRg,10,865737,47,1426
UCZHLRbXylR-x2wU-kp65nTA,1,708906,11,766
UCOyx6C8ct8wI1IFClQC7S3g,20,29234,38,26
UC2ZB5-Fgacw_0vTp-8gUWUw,29,19312,89,28
UCXFsqgD5tcqwiRAD9Nw88pQ,22,17930,7,11
UCTD5RhYO-SNPVWtJZdQoKOw,17,163211,107,206
UCz_sKjgVE53fvJSkXsZ2F4A,10,950373,35,358
UCExJ7v6NM74ke48mAKKdcXg,2,6038,10,7
UCXCM24Hc7T-tdDnBcvyJQgA,1,43704,3,52
UCYX169KoQ8BveVQ8CIi3mFQ,24,25200,29,53
UCTv-XvfzLX3i4IGWAm4sbmA,17,453048060,28597,1600272
UCYRRKA07mLG8fpkDqhJXZAg,27,47836525,425,65435
UC0NuyXHym-Oatwfpab2LAMA,20,25664165,643,23186
UCP0hHZRg87pWVJCOgueslmw,22,888910,276,4386
UCI1q-BRy1m5YT87DUyFyUQg,27,9616,17,5
UCvpTHwinUOwXS9TfSz4LEEg,17,54176,2,35
UCOtMIE18ug3jX70PSmdz8kA,19,203807,26,94
UC9v5r_aHplJ7dHegXaeulAA,24,364079,22,109
UC-iuonKZZC9krPa-RpwMO9w,28,58337,51,265
UCazFRHqhI2ql16hePyTVNng,1,19363370,513,9059
UCBoR0Yu5hqiGEJdYM8nRT0g,26,109237,61,308
UCI-Oq7oFGakzSzHFlTtsUsQ,17,502010719,58490,247654
UCEKSOXh7GGPbTtr6viRUI5A,23,180445,18,86
UCNEiwm4i-qmILrmG9XDzcrA,10,142965,103,233
UCRvCWWrrL43n2aOD1jPu4sw,24,18169,3,134
UCAbdtc3JlwVH-s4Dg-jnPrw,2,576850,783,335
UC5oRfIfcuPX0F9PjIpPa7YQ,24,794306,56,1164
